textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitve,human intervention,GS
p16,3,3,wait for the delivery,wait,delivery,0,low,0,1,0
p16,5,6,process the order,process,order,0,low,1,1,0
p16,6,7,deliver the goods,deliver,goods,0,low,1,1,0
p16,7,8,receive the goods,receive,goods,0,medium,1,1,0
p16,11,11,complain about about order,complain,order,0,low,0,1,0
p17,5,6,dispatch the products,dispatch,products,0,low,0,1,0
p18,0,1,create a job requisition,create,job requisition,0,low,0,1,0
p18,1,2,prepare the candidate list,prepare,candidate list,0,low,0,1,0
p18,2,3,evaluate the list,evaluate,list,0,low,0,1,0
p18,3,4,conduct the interviews,conduct,interviews,0,low,0,1,0
p18,7,7,give to the selected candidate,give,candidate,0,low,0,1,0
p18,8,8,reject the candidate,reject,candidate,0,low,1,1,0
p19,1,2,select the book,select,book,0,low,0,1,0
p19,2,3,order the book,order,book,0,low,0,1,0
p19,4,5,check the availability,check,availability,0,medium,1,1,0
p19,7,7,deliver the book,deliver,book,0,low,1,1,0
p19,8,8,receive the book,receive,book,0,low,0,1,0
p19,11,10,note the request,note,request,0,low,0,1,0
p2,0,1,complete form,complete,form,0,low,0,1,0
p2,1,2,determine the consistency,determine,consistency,0,low,0,1,0
p2,3,4,check the financial record,check,record,0,low,0,1,0
p2,10,10,find the student to fulfill financial requirments,find,student,0,low,0,1,0
p2,13,13,prepare the tuition bill,prepare,bill,0,low,0,1,0
p20,1,2,review the order,review,order,0,medium,1,1,0
p20,3,3,reject the order,reject,order,0,medium,1,1,0
p20,7,6,handle the order,handle,order,0,low,0,1,0
p20,8,7,handle the shipping,handle,shipping,0,low,0,1,0
p20,9,9,complete the order,complete,order,0,low,1,1,0
p21,2,3,check the booking criteria,check,criteria,0,low,0,1,0
p21,3,4,check the availability status,check,status,0,low,0,1,0
p21,11,10,complete the assignment,complete,assignment,0,low,0,1,0
p21,13,12,reject the booking,reject,booking,0,low,0,1,0
p22,3,4,check the credit,check,credit,0,low,1,1,0
p22,3,5,check invoicing,check,invoice,0,low,0,1,0
p22,5,6,find the deficit balance,find,balance,0,low,0,1,0
p22,6,7,address the credit problem,address,problem,0,low,0,1,0
p22,7,8,find the credit ok,find,credit,0,low,0,1,0
p22,8,10,prepare the invoice,prepare,invoice,0,low,1,1,0
p22,10,12,ship the order,ship,order,0,low,1,1,0
p22,13,16,evaluate the order,evaluate,order,0,low,0,1,0
p22,15,17,control orders in the stock,control,orders,0,low,0,1,0
p22,16,18,bring from the warehouse,bring,,0,low,0,1,0
p22,17,19,control orders,control,orders,0,low,0,1,0
p22,19,21,execute the order,execute,order,0,low,1,1,0
p22,19,22,execute the order,execute,order,0,low,1,1,0
p22,20,23,ship the order,ship,order,0,low,1,1,0
p22,20,24,ship the order,ship,order,0,low,1,1,0
p23,2,2,check the credit requirments,check,requirments,0,low,0,1,0
p24,0,1,receive a spare part,receive,spare part,0,low,0,1,0
p24,1,2,check the quality,check,quality,0,low,1,1,0
p24,5,5,reintegrate the spare part,reintegrate,spare part,0,low,0,1,0
p24,7,8,conduct the retrun part to supplier,conduct,retrun part,0,low,0,1,0
p24,7,9,discard the return part,discard,return part,0,low,0,1,0
p25,2,3,verify the bug,verify,bug,0,low,0,1,0
p25,4,5,find the bug,find,bug,0,low,1,1,0
p25,5,6,fix the bug,fix,bug,0,low,0,1,0
p25,9,10,find the bug,find,bug,0,low,1,1,0
p26,0,1,prepare an expense voucher,prepare,voucher,0,low,0,1,0
p26,7,10,transfer the funds,transfer,funds,0,low,0,1,0
p27,4,5,conduct the optimal quotation,conduct,quotation,0,low,1,1,0
p27,5,6,accept the quotation,accept,quotation,0,low,0,1,0
p27,6,7,conduct the optimal quotation,conduct,quotation,0,low,1,1,0
p27,7,8,settle price,settle,price,0,low,0,1,0
p28,2,3,validate the syntax,validate,syntax,0,low,0,1,0
p28,4,5,find the syntax error,find,error,0,low,0,1,0
p28,7,8,fix the bugs,fix,bugs,0,low,0,1,0
p28,10,11,check the content,check,content,0,low,0,1,0
p28,11,13,evaluate the student project,evaluate,project,0,low,0,1,0
p29,3,4,take the driving interview,take,interview,0,low,0,1,0
p29,6,7,reject the license issue,reject,license,0,low,0,1,0
p3,0,1,demand a menue,demand,menue,0,low,0,1,0
p3,1,2,select the pizza,select,pizza,0,low,0,1,0
p3,5,6,bake the pizza,bake,pizza,0,low,1,1,0
p3,6,7,conduct the available material,conduct,material,0,low,0,1,0
p3,7,8,prepare the material,prepare,material,0,low,1,1,0
p3,8,10,deliver the pizza,deliver,pizza,0,low,1,1,0
p30,0,1,conduct an evalute order,conduct,order,0,low,0,1,0
p30,3,3,create the sale order,create,order,0,low,0,1,0
p30,4,4,prepare the quality assurance,prepare,assurance,0,low,0,1,0
p30,5,5,ship the order,ship,order,0,low,1,1,0
p30,8,8,identify the business partner,identify,partner,0,low,0,1,0
p30,9,9,prepare the quotation,prepare,quotation,0,low,0,1,0
p30,11,11,analyze the offer,analyze,offer,0,low,0,1,0
p30,13,12,accept the offer,accept,offer,0,low,1,1,0
p31,2,3,verify the customer identity,verify,identity,0,low,0,1,0
p31,8,11,arrange the delivery,arrange,delivery,0,low,0,1,0
p31,9,12,deliver the water,deliver,water,0,low,0,1,0
p32,0,1,support a repair,support,repair,0,low,0,1,0
p32,1,2,visit the customer place,visit,place,0,low,0,1,0
p32,2,3,perform the inspection,perform,inspection,0,low,0,1,0
p32,5,6,arrange the product pickup,arrange,pickup,0,low,0,1,0
p32,6,7,inspect the repairing impossible,inspect,repairing,0,low,0,1,0
p32,7,8,arrange the refund,arrange,refund,0,low,0,1,0
p33,5,5,check the order availability,check,availability,0,low,0,1,0
p33,7,7,find the stock runout,find,stock,0,low,0,1,0
p33,10,11,assemble the package,assemble,package,0,low,0,1,0
p34,1,2,find the job advertisment,find,advertisment,0,low,0,1,0
p34,8,9,review the application,review,application,0,low,1,1,0
p34,9,10,conduct the interview,conduct,interview,0,low,1,1,0
p34,11,11,reject the candidate,reject,candidate,0,low,1,1,0
p35,0,1,identify a vacancy,identify,vacancy,0,low,1,1,0
p35,4,3,conduct the retrive position description,conduct,description,0,low,0,1,0
p35,6,6,review the vacancy,review,vacancy,0,low,1,1,0
p35,9,8,write the job description,write,description,0,low,1,1,0
p35,10,9,check the job description,check,description,0,low,0,1,0
p35,11,10,determine the channels,determine,channels,0,low,1,1,0
p35,14,13,close the vacancy,close,vacancy,0,low,0,1,0
p36,3,4,review the request,review,request,0,medium,1,1,0
p36,5,5,find the book,find,book,0,low,0,1,0
p36,10,10,check out the book,check,book,0,low,0,1,0
p36,11,11,deliver the book,deliver,book,0,low,1,1,0
p37,3,4,give the appointment,give,appointment,0,low,0,1,0
p37,6,7,evaluate the cause,evaluate,cause,0,low,0,1,0
p37,8,9,give the medicine,give,medicine,0,low,0,1,0
p37,9,10,receive the medicine,receive,medicine,0,low,0,1,0
p38,1,2,verify the credit card,verify,credit card,0,low,1,1,0
p38,2,3,check the balance,check,balance,0,low,1,1,0
p38,4,5,find the balance insufficent,find,balance,0,low,1,1,0
p38,6,7,find the balance sufficent,find,balance,0,low,1,1,0
p38,7,8,fill the order,fill,order,0,low,0,1,0
p38,9,10,process the lodging order,process,order,0,low,0,1,0
p38,12,13,process the airline invoice,process,invoice,0,low,0,1,0
p39,0,1,starts a browsing,starts,browsing,0,low,0,1,0
p39,2,4,conduct the checkout products,conduct,products,0,low,0,1,0
p4,1,2,determine the approval rules,determine,rules,0,low,0,1,0
p4,2,3,review the request,review,request,0,medium,1,1,0
p4,8,8,review the quote,review,quote,0,low,1,1,0
p4,9,9,review personal information,review,information,0,low,0,1,0
p4,10,11,check the information,check,information,0,low,0,1,0
p40,4,5,review the assignable request,review,request,0,low,0,1,0
p40,7,9,complete the registration,complete,registration,0,low,0,1,0
p40,10,11,provide the required information,provide,information,0,low,0,1,0
p40,12,13,perform the prelimenary investigation,perform,investigation,0,low,0,1,0
p40,14,15,grant the loan,grant,loan,0,low,0,1,0
p41,1,2,give the sat papper,give,papper,0,low,0,1,0
p41,2,3,take the sat test,take,test,0,low,0,1,0
p41,5,6,attend the university,attend,university,0,low,0,1,0
p41,9,10,read the sat preparation book,read,book,0,low,0,1,0
p42,6,6,charge the credit card,charge,credit card,0,low,0,1,0
p42,8,7,find the insufficent balance,find,balance,0,low,0,1,0
p42,11,10,find the sufficent balance,find,balance,0,low,1,1,0
p43,3,4,conduct the enquiry training,conduct,training,0,low,0,1,0
p43,5,5,find the available trainer,find,trainer,0,low,0,1,0
p43,6,6,look for the trainer,look,trainer,0,low,0,1,0
p43,8,9,starts the training,starts,training,0,low,0,1,0
p44,0,1,launch an auction,launch,auction,0,low,0,1,0
p44,1,2,find the item,find,item,0,low,0,1,0
p44,2,3,read the item description,read,description,0,low,0,1,0
p44,4,5,contact the seller,contact,seller,0,low,0,1,0
p44,5,6,read the seller feedback,read,feedback,0,low,0,1,0
p44,8,8,reject the offer,reject,offer,0,low,1,1,0
p44,10,10,buy the item now,buy,item,0,low,0,1,0
p44,11,11,verify the bidder credentials,verify,credentials,0,low,0,1,0
p44,12,12,close the auction,close,auction,0,low,0,1,0
p45,1,2,analyze the sample,analyze,sample,0,low,0,1,0
p45,2,3,check the result,check,result,0,low,0,1,0
p45,4,5,find the defective sample,find,sample,0,low,1,1,0
p45,5,6,purchase the product,purchase,product,0,low,0,1,0
p45,6,7,find the defective sample,find,sample,0,low,1,1,0
p45,7,8,evaluate the reasons,evaluate,reasons,0,low,0,1,0
p46,4,5,find the issue,find,issue,0,low,0,1,0
p46,7,8,resolve the issue,resolve,issue,0,low,1,1,0
p46,8,9,resolve the issue,resolve,issue,0,low,1,1,0
p47,0,1,demand an article,demand,article,0,low,0,1,0
p47,2,3,check the availability,check,availability,0,medium,1,1,0
p47,4,5,find the available article,find,article,0,low,0,1,0
p49,2,3,check the order catagory,check,catagory,0,low,0,1,0
p49,4,5,find the standard order,find,order,0,low,0,1,0
p49,6,8,determine the order pricing,determine,pricing,0,low,0,1,0
p5,1,2,process the order request,process,request,0,low,0,1,0
p5,5,7,check the availability,check,availability,0,medium,1,1,0
p5,9,10,collect the parts,collect,parts,0,low,0,1,0
p5,10,12,fulfil the order,fulfil,order,0,low,1,1,0
p5,11,13,dispatch the product,dispatch,product,0,low,0,1,0
p50,2,3,allocate the initial priority,allocate,priority,0,low,0,1,0
p50,9,10,determine the scope,determine,scope,0,low,0,1,0
p52,2,2,package the goods,package,goods,0,low,1,1,0
p52,3,3,evaluate the normal order,evaluate,order,0,low,0,1,0
p52,3,4,evaluate special shipment,evaluate,shipment,0,low,0,1,0
p52,5,5,find the normal order,find,normal,0,low,0,1,0
p52,6,6,take the extra insurance,take,insurance,0,low,1,1,0
p52,7,8,fill the order lable,fill,lable,0,low,0,1,0
p52,8,9,find the special order,find,order,0,low,0,1,0
p52,10,11,assign the carrier,assign,carrier,0,low,1,1,0
p52,11,13,add the paperwork,add,paperwork,0,low,0,1,0
p52,11,14,move the package,move,package,0,low,1,1,0
p53,4,5,assign the room,assign,room,0,low,0,1,0
p53,5,6,establish the terms,establish,terms,0,low,0,1,0
p53,5,7,establish methods,establish,methods,0,low,0,1,0
p53,6,8,issue the room key,issue,key,0,low,0,1,0
p53,9,13,check the availability,check,availability,0,medium,1,1,0
p53,11,14,find the available room,find,room,0,low,0,1,0
p53,12,15,reject the guest request,reject,request,0,low,0,1,0
p53,14,17,issue the key,issue,key,0,low,0,1,0
p54,2,3,review the order,review,order,0,medium,1,1,0
p54,4,5,find the retailer,find,retailer,0,low,0,1,0
p54,7,11,analyze the demand availability,analyze,availability,0,low,0,1,0
p54,13,16,reject the order,reject,order,0,medium,1,1,0
p55,0,1,identify a vacancy,identify,vacancy,0,low,1,1,0
p55,2,3,access the vacancy,access,vacancy,0,low,1,1,0
p55,3,4,review the vacancy,review,vacancy,0,low,1,1,0
p55,6,6,write the job description,write,description,0,low,1,1,0
p55,7,7,determine the channels,determine,channels,0,low,1,1,0
p55,10,9,reject the vacancy,reject,vacancy,0,low,0,1,0
p56,3,3,find the available product,find,product,0,low,0,1,0
p56,4,4,bring the product,bring,product,0,low,0,1,0
p56,8,7,package the order,package,order,0,low,0,1,0
p56,10,10,ship the order,ship,order,0,low,1,1,0
p57,6,7,verify the credit,verify,credit,0,low,0,1,0
p57,8,8,find the credit sufficent,find,credit,0,low,0,1,0
p57,10,10,prepare ships,prepare,ships,0,low,0,1,0
p57,14,16,close the order,close,order,0,low,0,1,0
p58,2,3,evaluate the payment mode,evaluate,mode,0,low,0,1,0
p58,5,6,verify the total amount,verify,amount,0,low,0,1,0
p58,8,9,verify the credit card,verify,credit card,0,low,1,1,0
p58,10,10,find the balance sufficent,find,balance,0,low,1,1,0
p58,12,12,find the balance insufficent,find,balance,0,low,1,1,0
p59,5,6,create the product specification,create,specification,0,low,0,1,0
p59,7,8,release the product class,release,product class,0,low,0,1,0
p59,7,9,release attributeses,release,attributes,0,low,0,1,0
p6,1,2,assist the customer,assist,customer,0,low,0,1,0
p6,2,3,evaluate the request,evaluate,request,0,low,0,1,0
p60,1,2,determine the registration authority,determine,authority,0,low,0,1,0
p60,3,4,find the authority,find,authority,0,low,1,1,0
p60,4,6,find the authority,find,authority,0,low,1,1,0
p60,6,9,verify the business identity,verify,identity,0,low,0,1,0
p60,9,11,send the training letter,send,letter,0,low,0,1,0
p61,3,2,process the shippping,process,shippping,0,low,0,1,0
p61,7,5,handle the shipping price,handle,price,0,low,0,1,0
p61,8,6,process the invoice,process,invoice,0,low,1,1,0
p62,2,3,evaluate the support request,evaluate,request,0,low,0,1,0
p62,4,5,find the information validate,find,information,0,low,0,1,0
p62,8,9,validate the support,validate,support,0,low,0,1,0
p62,9,10,display the status,display,status,0,low,0,1,0
p62,10,11,find the validate information,find,information,0,low,0,1,0
p62,11,12,validate the information,validate,information,0,low,0,1,0
p62,11,13,validate resubmits,validate,resubmits,0,low,0,1,0
p63,2,3,evaluate the candidate eligibility,evaluate,eligibility,0,low,0,1,0
p63,4,5,find the eligible candidate,find,candidate,0,low,0,1,0
p63,6,7,find the candidate,find,candidate,0,low,0,1,0
p63,8,9,review the candidates list,review,list,0,low,0,1,0
p63,9,10,conduct the announse issue,conduct,issue,0,low,0,1,0
p63,10,11,prepare the result,prepare,result,0,low,0,1,0
p64,1,2,review the request,review,request,0,medium,1,1,0
p64,3,4,transfer the fund,transfer,fund,0,low,0,1,0
p64,4,5,order the product,order,product,0,low,0,1,0
p64,6,6,get the product,get,product,0,low,0,1,0
p65,0,1,offer a quote,offer,quote,0,low,0,1,0
p65,2,3,prepare the appointment,prepare,appointment,0,low,0,1,0
p65,3,4,conduct the appointment,conduct,appointment,0,low,0,1,0
p65,4,5,collect the missing info,collect,info,0,low,0,1,0
p65,5,6,calculate the insurance package,calculate,package,0,low,0,1,0
p65,8,9,reevaluate the opportunity,reevaluate,opportunity,0,low,0,1,0
p66,5,6,review the request,review,request,0,medium,1,1,0
p66,7,8,reject the request,reject,request,0,low,1,1,0
p67,2,3,evaluate the person credit score,evaluate,credit score,0,low,0,1,0
p67,4,5,find the eligible person,find,person,0,low,1,1,0
p67,5,6,evaluate the misc person,evaluate,person,0,low,0,1,0
p67,8,8,find the eligible person,find,person,0,low,1,1,0
p67,9,9,reject the loan request,reject,request,0,low,1,1,0
p68,1,2,check the patient,check,patient,0,low,1,1,0
p68,3,3,check the patient,check,patient,0,low,1,1,0
p68,4,4,advise the medicine,advise,medicine,0,low,0,1,0
p68,5,5,get the medicine,get,medicine,0,low,0,1,0
p68,6,6,make the referral,make,referral,0,low,0,1,0
p68,7,7,take the patient blood sample,take,sample,0,low,0,1,0
p68,8,8,make the further referral,make,referral,0,low,0,1,0
p68,9,9,perform the genetic testing,perform,testing,0,low,0,1,0
p69,0,1,view a need based scholorship notification,view,notification,0,low,0,1,0
p69,3,4,verify the documents,verify,documents,0,low,0,1,0
p69,4,5,list eligible candidates,list,candidates,0,low,0,1,0
p69,5,6,initiate the interviews,initiate,interviews,0,low,0,1,0
p69,7,8,find the student,find,student,0,low,0,1,0
p69,8,9,grant the scholorship,grant,scholorship,0,low,0,1,0
p69,10,11,reject the student request,reject,request,0,low,0,1,0
p7,0,1,give an order,give,order,0,low,1,1,0
p7,2,3,check the available or not funds,check,funds,0,low,1,1,0
p7,5,5,find the available funds,find,funds,0,low,1,1,0
p7,6,6,add the funds,add,funds,0,low,1,1,0
p7,8,9,process the customer order,process,order,0,low,1,1,0
p7,9,10,check the inventory,check,inventory,0,low,1,1,0
p7,12,13,prepare the purchase requisition,prepare,requisition,0,low,1,1,0
p7,13,14,purchase the order,purchase,order,0,low,1,1,0
p7,17,16,pack the product,pack,product,0,low,1,1,0
p7,18,17,deliver the product,deliver,product,0,low,1,1,0
p70,2,3,process the claim,process,claim,0,low,0,1,0
p70,3,4,identify the responsibilities,identify,responsibilities,0,low,0,1,0
p70,5,5,create the letter,create,letter,0,low,1,1,0
p70,7,8,change the responsibilities,change,responsibilities,0,low,0,1,0
p71,1,2,invite the candidates,invite,candidates,0,low,1,1,0
p71,2,3,develop the bid,develop,bid,0,low,0,1,0
p71,4,5,sign the contract,sign,contract,0,low,1,1,0
p71,6,7,review the updates,review,updates,0,low,1,1,0
p72,0,1,fill a request form,fill,form,0,low,0,1,0
p72,2,3,evaluate form,evaluate,form,0,low,0,1,0
p72,4,5,reject form,reject,form,0,low,0,1,0
p72,5,6,approve form,approve,form,0,low,0,1,0
p73,2,3,prepare the food,prepare,food,0,low,1,1,0
p73,5,7,prepare the food,prepare,food,0,low,1,1,0
p73,6,8,require the ingredient,require,ingredient,0,low,0,1,0
p73,7,9,prepare the material,prepare,material,0,low,1,1,0
p73,8,10,prepare the food,prepare,food,0,low,1,1,0
p73,10,12,deliver the food,deliver,food,0,low,0,1,0
p74,3,4,analyze the problem,analyze,problem,0,low,0,1,0
p74,3,5,address the problem,address,problem,0,low,0,1,0
p74,5,7,solve the problem,solve,problem,0,low,0,1,0
p74,10,13,find the problem ,find,problem,0,low,0,1,0
p74,11,14,evaluate the problem nature,evaluate,nature,0,low,0,1,0
p74,13,15,advise the customer,advise,customer,0,low,0,1,0
p75,2,3,review the request,review,request,0,medium,1,1,0
p76,3,4,evaluate the overtime registration,evaluate,registration,0,low,0,1,0
p76,7,7,decline the request,decline,request,0,low,0,1,0
p77,4,5,check the product type,check,product type,0,low,0,1,0
p77,8,9,deliver the goods to the warehouse,deliver,goods,0,low,0,1,0
p77,9,10,receive the goods,receive,goods,0,medium,1,1,0
p77,14,14,receive the goods,receive,goods,0,medium,1,1,0
p78,2,3,review the application,review,application,0,low,1,1,0
p78,7,11,accept the application,accept,application,0,low,1,1,0
p78,8,13,evaluate the minimum standard to not meet ,evaluate,standard,0,low,0,1,0
p78,11,17,write the rejection letter,write,letter,0,low,0,1,0
p78,14,22,receive the letter,receive,letter,0,low,1,1,0
p79,0,1,view the products,view,products,0,low,0,1,0
p79,1,2,greet the customer,greet,customer,0,low,0,1,0
p79,2,3,ask the special order,ask,order,0,low,0,1,0
p79,3,4,review the special list,review,list,0,low,0,1,0
p79,4,5,provide the specials,provide,specials,0,low,0,1,0
p79,5,6,order the food,order,food,0,low,0,1,0
p8,3,3,take the item,take,item,0,low,0,1,0
p8,4,4,conduct the available item,conduct,item,0,low,0,1,0
p8,7,7,check the purchase requisition,check,requisition,0,low,0,1,0
p80,5,5,identify the training groups,identify,groups,0,low,0,1,0
p80,6,6,identify the extended workshops,identify,workshops,0,low,0,1,0
p80,7,8,attend the training,attend,training,0,low,0,1,0
p80,9,10,evaluate the performance,evaluate,performance,0,low,0,1,0
p81,2,3,analyze the order,analyze,order,0,low,0,1,0
p81,4,5,reject the order,reject,order,0,medium,1,1,0
p81,6,7,accept the order,accept,order,0,low,1,1,0
p81,7,8,check the stock,check,stock,0,low,0,1,0
p81,11,12,purchase the raw material,purchase,material,0,low,1,1,0
p81,12,13,plan the production,plan,production,0,low,1,1,0
p81,13,15,make the products,make,products,0,low,0,1,0
p82,3,3,create the consignment pipeline liability,create,liability,0,low,0,1,0
p82,4,4,settle the consignment pipeline liability,settle,liability,0,low,0,1,0
p82,5,6,transmit the consignment pipeline settlement document,transmit,document,0,low,0,1,0
p82,7,8,plan the invoice settlement,plan,settlement,0,low,0,1,0
p82,11,10,create the purchase order,create,order,0,low,0,1,0
p82,12,12,process the invoice,process,invoice,0,low,1,1,0
p82,13,13,evaluate the receipt settlement,evaluate,settlement,0,low,0,1,0
p82,17,17,release the invoice,release,invoice,0,low,0,1,0
p82,19,19,release the material,release,material,0,low,0,1,0
p82,20,20,release the invoice manually,release,invoice,0,low,0,1,0
p83,3,3,start the production,start,production,0,low,0,1,0
p83,5,5,purchase the raw material,purchase,material,0,low,1,1,0
p83,6,6,plan the production,plan,production,0,low,1,1,0
p83,7,8,produce the articles,produce,articles,0,low,1,1,0
p83,10,11,stop the billing,stop,billing,0,low,0,1,0
p83,11,12,starts the billing,starts,billing,0,low,1,1,0
p83,14,15,check the account status,check,status,0,low,0,1,0
p83,15,16,produce the articles,produce,articles,0,low,1,1,0
p84,0,1,pick a gun,pick,gun,0,low,0,1,0
p84,1,2,load the gun,load,gun,0,low,0,1,0
p84,2,3,pull the trigger,pull,trigger,0,low,0,1,0
p84,3,4,strike the firing pin,strike,firing pin,0,low,0,1,0
p84,5,5,fire the gun,fire,gun,0,low,0,1,0
p84,6,6,Assassin the victim,Assassin,victim,0,low,0,1,0
p84,7,7,get the dead,get,dead,0,low,0,1,0
p84,8,8,misfire the gun,misfire,gun,0,low,0,1,0
p85,2,3,understand the requirement specification,understand,specification,0,low,0,1,0
p85,10,10,prepare the item,prepare,item,0,low,0,1,0
p86,3,4,provide the personal information,provide,information,0,low,0,1,0
p86,5,5,gather the customer information,gather,information,0,low,1,1,0
p86,6,6,perform the customer information inquiry,perform,inquiry,0,low,1,1,0
p86,8,9,check the service requirments,check,requirments,0,low,0,1,0
p86,9,10,check the service availability,check,availability,0,low,0,1,0
p86,11,11,find the available service,find,service,0,low,1,1,0
p86,12,12,reject the request,reject,request,0,low,1,1,0
p87,4,5,review the request,review,request,0,medium,1,1,0
p87,9,9,reject the request,reject,request,0,low,1,1,0
p87,10,10,send the rejection letter,send,letter,0,low,1,1,0
p87,11,11,receive the rejection letter,receive,letter,0,low,1,1,0
p88,1,2,open the customer inquiry,open,inquiry,0,low,0,1,0
p88,4,5,determine the tax,determine,tax,0,low,0,1,0
p88,5,6,determine the vehicle price,determine,price,0,low,0,1,0
p88,6,8,determine the markup discounts,determine,discounts,0,low,0,1,0
p88,7,9,perform the export check,perform,check,0,low,0,1,0
p88,9,10,forbid the export,forbid,export,0,low,0,1,0
p88,10,11,perform the export control,perform,control,0,low,0,1,0
p88,11,12,process the required documents,process,documents,0,low,0,1,0
p88,12,13,supervise the customer order,supervise,order,0,low,0,1,0
p88,13,14,ship the vehicle,ship,vehicle,0,low,0,1,0
p89,1,2,create the product demand list,create,list,0,low,0,1,0
p89,2,3,plan the production order,plan,order,0,low,0,1,0
p89,3,4,create the production order list,create,list,0,low,0,1,0
p89,4,5,review the production list,review,list,0,low,0,1,0
p89,6,6,reject the production schedule list,reject,list,0,low,0,1,0
p89,8,8,accept the production schedule list,accept,list,0,low,0,1,0
p89,9,9,manufacture the products,manufacture,products,0,low,1,1,0
p9,7,7,apologize to the customer,apologize,customer,0,low,0,1,0
p9,8,8,bake the pizza,bake,pizza,0,low,1,1,0
p9,9,9,deliver the pizza,deliver,pizza,0,low,1,1,0
p9,10,10,receive the pizza delivery,receive,pizza,0,low,0,1,0
p9,12,12,eat the pizza,eat,pizza,0,low,0,1,0
p90,2,3,review the order,review,order,0,medium,1,1,0
p90,4,5,reject the order,reject,order,0,medium,1,1,0
p90,7,8,accept the order,accept,order,0,low,1,1,0
p90,13,12,purchase the raw material,purchase,material,0,low,1,1,0
p90,14,13,plan the production,plan,production,0,low,1,1,0
p90,15,15,manufacture the products,manufacture,products,0,low,1,1,0
p90,18,18,prepare the shipment,prepare,shipment,0,low,1,1,0
p90,19,19,ship the products,ship,products,0,low,1,1,0
p91,0,1,receive the spare parts,receive,spare parts,0,low,0,1,0
p91,2,2,prepare the receipt,prepare,receipt,0,low,0,1,0
p91,4,4,check the quality,check,quality,0,low,1,1,0
p91,4,5,receive spare parts,receive,parts,0,low,0,1,0
p91,11,13,demand spare parts,demand,parts,0,low,0,1,0
p92,4,5,review the detail,review,detail,0,low,0,1,0
p92,7,8,find the user transaction,find,transaction,0,low,0,1,0
p92,12,13,conduct the transaction,conduct,transaction,0,low,0,1,0
p93,0,2,consult the website specification,consult,specification,0,low,0,1,0
p93,1,3,prepare the proposal,prepare,proposal,0,low,0,1,0
p93,1,4,document the specifications,document,specifications,0,low,0,1,0
p93,2,5,conduct the kickoff meeting,conduct,meeting,0,low,0,1,0
p93,3,6,design the website template,design,template,0,low,0,1,0
p93,5,7,design the wireframe,design,wireframe,0,low,0,1,0
p93,6,8,design the information architecture,design,architecture,0,low,0,1,0
p93,7,10,assemble the contents,assemble,contents,0,low,0,1,0
p93,9,11,design the graphics,design,graphics,0,low,0,1,0
p93,10,12,design the animations,design,animations,0,low,0,1,0
p93,11,15,take the client approval,take,approval,0,low,0,1,0
p93,17,21,decide the channel optimizations,decide,optimizations,0,low,0,1,0
p93,20,26,launch the website,launch,website,0,low,0,1,0
p94,4,5,evaluate the entered correctness,evaluate,correctness,0,low,0,1,0
p94,4,6,evaluate completnesses,evaluate,completnesses,0,low,0,1,0
p95,0,1,enter in the hotel for dinner,enter,hotel,0,low,0,1,0
p95,5,6,prepare the order,prepare,order,0,low,1,1,0
p95,6,8,handovers the order to the customer,handovers,order,0,low,0,1,0
p95,10,11,allocate the seat,allocate,seat,0,low,0,1,0
p95,11,12,provide the menu,provide,menu,0,low,0,1,0
p95,13,15,forwards the order,forwards,order,0,low,0,1,0
p95,14,16,cook the meal,cook,meal,0,low,0,1,0
p95,16,18,eat the meat,eat,meat,0,low,0,1,0
p95,17,19,complete the dine,complete,dine,0,low,0,1,0
p95,18,20,issue the bill,issue,bill,0,low,0,1,0
p96,2,3,review the order,review,order,0,medium,1,1,0
p96,4,5,reject the order,reject,order,0,medium,1,1,0
p96,7,8,accept the order,accept,order,0,low,1,1,0
p96,14,12,plan the production,plan,production,0,low,1,1,0
p96,18,15,make the production,make,production,0,low,0,1,0
p96,19,17,ship the products,ship,products,0,low,1,1,0
p97,0,1,prepare a product requisition,prepare,requisition,0,low,0,1,0
p97,6,7,create the testing plan,create,plan,0,low,0,1,0
p97,11,13,identify the reasons,identify,reasons,0,low,1,1,0
p97,11,14,identify the reasons,identify,reasons,0,low,1,1,0
p97,12,15,make the correction,make,correction,0,low,0,1,0
p97,15,19,promote the product,promote,product,0,low,1,1,0
p97,15,20,promote the product,promote,product,0,low,1,1,0
p97,16,21,launch the product,launch,product,0,low,1,1,0
p97,16,22,launch the product,launch,product,0,low,1,1,0
p98,3,3,find the possible request,find,request,0,low,0,1,0
p98,4,4,reject the request,reject,request,0,low,1,1,0
p98,9,9,make the statments,make,statments,0,low,0,1,0
p98,9,10,give fact,give,fact,0,low,0,1,0
p99,3,3,check the bill information,check,information,0,low,0,1,0
p99,5,5,find the need,find,need,0,low,0,1,0
p99,6,6,starts the billing,starts,billing,0,low,1,1,0
p99,11,12,conduct the production start,conduct,production,0,low,0,1,0
p99,13,13,plan the production,plan,production,0,low,1,1,0
p99,14,14,purchase the raw material,purchase,material,0,low,1,1,0
p99,15,16,finish the production,finish,production,0,low,0,1,0
p99,16,17,ship the products,ship,products,0,low,1,1,0
p11,8,9,process the credit card,process,credit card,0,low,0,1,0
p110,9,9,issue the credit report,issue,report,0,low,0,1,0
p59,4,5,import the product,import,product,0,low,0,1,0
