,textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitive,human intervention,GS
386,p128,5,6,prepare the response,prepare,response,0.0,low,0,1,0
387,p128,8,9,determine the premium,determine,premium,0.0,low,0,1,0
388,p128,9,10,assess the policy,assess,policy,0.0,low,0,1,0
389,p129,0,1,admit a patient,admit,patient,0.0,low,0,1,0
390,p129,1,2,perform the checkup,perform,checkup,0.0,low,0,1,0
391,p129,2,3,examine the patient,examine,patient,0.0,low,0,1,0
392,p129,4,5,discuss the risks,discuss,risks,0.0,low,0,1,0
393,p129,5,6,examine the anesthesia,examine,anesthesia,0.0,low,0,1,0
394,p129,7,8,schedule the surgery,schedule,surgery,0.0,low,0,1,0
395,p129,8,9,check the patient record,check,record,0.0,low,0,1,0
396,p129,9,10,send the patient to the surgical suite,send,patient,0.0,low,0,1,0
397,p129,10,11,perform the surgery,perform,surgery,0.0,low,0,1,0
398,p129,11,12,transport the patient,transport,patient,0.0,low,0,1,0
399,p129,12,13,receive the patient,receive,patient,0.0,low,0,1,0
400,p129,15,15,provide the prostsurgical care,provide,care,0.0,low,0,1,0
401,p129,16,16,create the surgical report,create,report,0.0,low,0,1,0
402,p129,17,18,write the discharge letter,write,letter,0.0,low,0,1,0
403,p129,18,19,discharge the patient,discharge,patient,0.0,low,0,1,0
404,p13,0,1,order a cheque book,order,book,0.0,low,0,1,0
405,p13,6,6,deliver the cheque book,deliver,book,0.0,low,0,1,0
406,p130,2,5,program the strategy theme,program,theme,0.0,low,0,1,0
407,p130,3,6,open the program specification,open,specification,0.0,low,0,1,0
408,p130,4,7,decide the program objectives,decide,objectives,0.0,low,0,1,0
409,p130,5,8,complete the program specification,complete,specification,0.0,low,0,1,0
410,p130,10,14,design the verification,design,verification,0.0,low,0,1,0
411,p130,11,15,validate the methods,validate,methods,0.0,low,0,1,0
412,p130,12,16,plan the quality,plan,quality,0.0,low,0,1,0
413,p131,7,9,review the requirments,review,requirments,0.0,low,0,1,0
414,p131,8,10,check the available or not services,check,services,0.0,low,0,1,0
415,p131,11,12,find the services availble,find,services,0.0,low,0,1,0
416,p131,12,13,check the amount,check,amount,0.0,low,0,1,0
417,p132,2,2,go to the office,go,office,0.0,low,0,1,0
418,p132,3,3,work from the home,work,,0.0,low,0,1,0
419,p132,4,5,reach the office,reach,office,0.0,low,0,1,0
420,p132,5,6,assign the required task,assign,task,0.0,low,0,1,0
421,p132,8,9,demand the lunch break,demand,break,0.0,low,0,1,0
422,p132,12,13,stop the work,stop,work,0.0,low,0,1,0
423,p133,0,1,open a website,open,website,0.0,low,0,1,0
424,p133,2,4,starts the registration,start,registration,0.0,low,0,1,0
425,p134,3,4,review the quality,review,quality,0.0,low,0,1,0
426,p134,9,9,store the goods,store,goods,0.0,low,0,1,0
427,p134,12,12,create the report,create,report,0.0,low,0,1,0
428,p134,15,15,prepare the replacement order,prepare,order,0.0,low,0,1,0
429,p135,3,4,check the nationality,check,nationality,0.0,low,0,1,0
430,p135,10,12,check the other required conditions,check,conditions,0.0,low,0,1,0
431,p135,14,16,find the fulfilled conditions,find,conditions,0.0,low,0,1,0
432,p135,16,19,give the prename,give,prename,0.0,low,0,1,0
433,p135,17,20,check the prename,check,prename,0.0,low,0,1,0
434,p135,19,21,clarify the name,clarify,name,0.0,low,0,1,0
435,p135,20,22,give the married name,give,name,0.0,low,0,1,0
436,p135,21,24,create the certification,create,certification,0.0,low,0,1,0
437,p136,0,1,check a data,check,data,0.0,low,0,1,0
438,p136,13,16,check the parents nationality,check,nationality,0.0,low,0,1,0
439,p136,17,20,conduct the trial,conduct,trial,0.0,low,0,1,0
440,p136,20,23,find russian,find,russian,0.0,low,0,1,0
441,p136,28,34,get the citizenship stamp,get,stamp,0.0,low,0,1,0
442,p137,3,4,review the parents citizenship,review,citizenship,0.0,low,0,1,0
443,p137,5,5,find the atleast,find,atleast,0.0,low,0,1,0
444,p137,7,8,find citizen,find,citizen,0.0,low,0,1,0
445,p137,12,13,find the child born in the wedlock,find,child,0.0,low,0,1,0
446,p137,13,14,consult the father,consult,father,0.0,low,0,1,0
447,p137,14,15,give the father surname,give,surname,0.0,low,0,1,0
448,p137,16,17,find the child not born in the wedlock,find,child,0.0,low,0,1,0
449,p137,17,18,consult the mother,consult,mother,0.0,low,0,1,0
450,p137,21,22,decide on the surname,decide,surname,0.0,low,0,1,0
451,p137,23,25,give first name,give,name,0.0,low,0,1,0
452,p137,26,29,process the birth certificate,process,certificate,0.0,low,0,1,0
453,p137,27,30,deliver the birth certificate,deliver,certificate,0.0,low,0,1,0
454,p138,10,10,fill in birth registration form,fill,form,0.0,low,0,1,0
455,p138,13,13,sign the birth certificate,sign,certificate,0.0,low,0,1,0
456,p138,19,18,finalize the registration,finalize,registration,0.0,low,0,1,0
457,p139,6,7,collect the documents,collect,documents,0.0,low,0,1,0
458,p139,12,13,fill in the birth certificate,fill,certificate,0.0,low,0,1,0
459,p139,16,17,determine the gba municiplility,determine,municiplility,0.0,low,0,1,0
460,p139,19,20,correct the errors,correct,errors,0.0,low,0,1,0
461,p139,21,22,finalize the message exchange,finalize,exchange,0.0,low,0,1,0
462,p14,0,1,announce the issues,announce,issues,0.0,low,0,1,0
463,p14,7,5,check the calender,check,calender,0.0,low,0,1,0
464,p14,11,8,evaluate the discussion process,evaluate,process,0.0,low,0,1,0
465,p140,8,9,determine the desendent,determine,desendent,0.0,low,0,1,0
466,p140,12,13,determine the gba municipility,determine,municipility,0.0,low,0,1,0
467,p140,16,17,check the accuracy,check,accuracy,0.0,low,0,1,0
468,p140,17,18,finalize the message,finalize,message,0.0,low,0,1,0
469,p141,1,2,check the term,check,term,0.0,low,0,1,0
470,p141,8,9,run through the data,run,data,0.0,low,0,1,0
471,p141,10,11,investigate the gba data,investigate,data,0.0,low,0,1,0
472,p141,16,17,determine the child nationality,determine,nationality,0.0,low,0,1,0
473,p141,20,21,finalize the certificate,finalize,certificate,0.0,low,0,1,0
474,p142,4,5,add the letter,add,letter,0.0,low,0,1,0
475,p142,5,7,provide the additional information,provide,information,0.0,low,0,1,0
476,p142,8,9,add the recomendations,add,recomendations,0.0,low,0,1,0
477,p142,12,14,conduct the check application,conduct,application,0.0,low,0,1,0
478,p142,14,16,conduct the review application,conduct,application,0.0,low,0,1,0
479,p142,20,22,find the time,find,time,0.0,low,0,1,0
480,p143,11,17,reject the application,reject,application,0.0,low,0,1,0
481,p143,16,22,check the continual match,check,match,0.0,low,0,1,0
482,p143,17,23,check the entrance qualification,check,qualification,0.0,low,0,1,0
483,p143,18,25,evaluate the requirements,evaluate,requirements,0.0,low,0,1,0
484,p143,20,26,reject the match,reject,match,0.0,low,0,1,0
485,p143,20,27,reject qualifications,reject,qualifications,0.0,low,0,1,0
486,p143,24,32,accept qualifications,accept,qualifications,0.0,low,0,1,0
487,p144,6,7,evaluate the criteria,evaluate,criteria,0.0,low,0,1,0
488,p144,12,12,go to the interview,go,interview,0.0,low,0,1,0
489,p145,16,16,evaluate the time,evaluate,time,0.0,low,0,1,0
490,p145,19,17,find one thing missing,find,thing,0.0,low,0,1,0
491,p146,4,8,check the citizenship,check,citizenship,0.0,low,0,1,0
492,p146,6,9,find the international applicant,find,applicant,0.0,low,0,1,0
493,p146,8,11,find the german applicant,find,applicant,0.0,low,0,1,0
494,p146,22,24,assess the application,assess,application,0.0,low,0,1,0
495,p146,23,25,mark the application,mark,application,0.0,low,0,1,0
496,p146,31,35,conduct the final confirmation,conduct,confirmation,0.0,low,0,1,0
497,p146,33,36,publish the letter,publish,letter,0.0,low,0,1,0
498,p147,2,2,create a letter,create,letter,0.0,low,0,1,0
499,p147,8,10,create the cv,create,cv,0.0,low,0,1,0
500,p147,8,11,add the cv,add,cv,0.0,low,0,1,0
501,p147,21,25,find the requirements to miss ,find,requirements,0.0,low,0,1,0
502,p147,23,27,hand over the application to the examining board,hand,application,0.0,low,0,1,0
503,p147,29,31,sum the score,sum,score,0.0,low,0,1,0
504,p147,34,35,invite the applicants,invite,applicants,0.0,low,0,1,0
505,p147,35,36,appoint the applicant,appoint,applicant,0.0,low,0,1,0
506,p147,36,37,take the interviews,take,interviews,0.0,low,0,1,0
507,p147,37,38,make the decision,make,decision,0.0,low,0,1,0
508,p148,5,5,conduct the required marks,conduct,marks,0.0,low,0,1,0
509,p148,7,7,conduct the sufficient marks,conduct,marks,0.0,low,0,1,0
510,p148,9,9,evaluate the documents,evaluate,documents,0.0,low,0,1,0
511,p148,16,15,receive the certificate,receive,certificate,0.0,low,0,1,0
512,p148,21,19,find the good average grade,find,grade,0.0,low,0,1,0
513,p149,6,7,evaluate the applicant eligibility,evaluate,eligibility,0.0,low,0,1,0
514,p149,9,9,invite to the aptitude test,invite,test,0.0,low,0,1,0
515,p15,2,3,produce the goods,produce,goods,0.0,low,0,1,0
516,p15,7,8,conduct the quality report received,conduct,report,0.0,low,0,1,0
517,p15,8,9,check the quality report,check,report,0.0,low,0,1,0
518,p150,1,2,complete the online interview,complete,interview,0.0,low,0,1,0
519,p150,13,15,print signs,print,signs,0.0,low,0,1,0
520,p150,14,16,correct the additional required documents,correct,documents,0.0,low,0,1,0
521,p150,20,26,get the required certificates,get,certificates,0.0,low,0,1,0
522,p150,25,33,create the transcript,create,transcript,0.0,low,0,1,0
523,p150,26,35,create the ranking,create,ranking,0.0,low,0,1,0
524,p150,29,37,invite the applicant,invite,applicant,0.0,low,0,1,0
525,p150,31,39,accept the applicant,accept,applicant,0.0,low,0,1,0
526,p16,3,3,wait for the delivery,wait,delivery,0.0,low,0,1,0
527,p16,11,11,complain about about order,complain,order,0.0,low,0,1,0
528,p17,5,6,dispatch the products,dispatch,products,0.0,low,0,1,0
529,p18,0,1,create a job requisition,create,job requisition,0.0,low,0,1,0
530,p18,1,2,prepare the candidate list,prepare,candidate list,0.0,low,0,1,0
531,p18,2,3,evaluate the list,evaluate,list,0.0,low,0,1,0
532,p18,3,4,conduct the interviews,conduct,interviews,0.0,low,0,1,0
533,p18,7,7,give to the selected candidate,give,candidate,0.0,low,0,1,0
534,p19,1,2,select the book,select,book,0.0,low,0,1,0
535,p19,2,3,order the book,order,book,0.0,low,0,1,0
536,p19,8,8,receive the book,receive,book,0.0,low,0,1,0
537,p19,11,10,note the request,note,request,0.0,low,0,1,0
538,p2,0,1,complete form,complete,form,0.0,low,0,1,0
539,p2,1,2,determine the consistency,determine,consistency,0.0,low,0,1,0
540,p2,3,4,check the financial record,check,record,0.0,low,0,1,0
541,p2,10,10,find the student to fulfill financial requirments,find,student,0.0,low,0,1,0
542,p2,13,13,prepare the tuition bill,prepare,bill,0.0,low,0,1,0
543,p20,7,6,handle the order,handle,order,0.0,low,0,1,0
544,p20,8,7,handle the shipping,handle,shipping,0.0,low,0,1,0
545,p21,2,3,check the booking criteria,check,criteria,0.0,low,0,1,0
546,p21,3,4,check the availability status,check,status,0.0,low,0,1,0
547,p21,11,10,complete the assignment,complete,assignment,0.0,low,0,1,0
548,p21,13,12,reject the booking,reject,booking,0.0,low,0,1,0
549,p22,3,5,check invoicing,check,invoice,0.0,low,0,1,0
550,p22,5,6,find the deficit balance,find,balance,0.0,low,0,1,0
551,p22,6,7,address the credit problem,address,problem,0.0,low,0,1,0
552,p22,7,8,find the credit ok,find,credit,0.0,low,0,1,0
553,p22,13,16,evaluate the order,evaluate,order,0.0,low,0,1,0
554,p22,15,17,control orders in the stock,control,orders,0.0,low,0,1,0
555,p22,16,18,bring from the warehouse,bring,,0.0,low,0,1,0
556,p22,17,19,control orders,control,orders,0.0,low,0,1,0
557,p23,2,2,check the credit requirments,check,requirments,0.0,low,0,1,0
558,p24,0,1,receive a spare part,receive,part,0.0,low,0,1,0
559,p24,5,5,reintegrate the spare part,reintegrate,part,0.0,low,0,1,0
560,p24,7,8,conduct the retrun part to supplier,conduct,part,0.0,low,0,1,0
561,p24,7,9,discard the return part,discard,part,0.0,low,0,1,0
562,p25,2,3,verify the bug,verify,bug,0.0,low,0,1,0
563,p25,5,6,fix the bug,fix,bug,0.0,low,0,1,0
564,p26,0,1,prepare an expense voucher,prepare,voucher,0.0,low,0,1,0
565,p26,7,10,transfer the funds,transfer,funds,0.0,low,0,1,0
566,p27,5,6,accept the quotation,accept,quotation,0.0,low,0,1,0
567,p27,7,8,settle price,settle,price,0.0,low,0,1,0
568,p28,2,3,validate the syntax,validate,syntax,0.0,low,0,1,0
569,p28,4,5,find the syntax error,find,error,0.0,low,0,1,0
570,p28,7,8,fix the bugs,fix,bugs,0.0,low,0,1,0
571,p28,10,11,check the content,check,content,0.0,low,0,1,0
572,p28,11,13,evaluate the student project,evaluate,project,0.0,low,0,1,0
573,p29,3,4,take the driving interview,take,interview,0.0,low,0,1,0
574,p29,6,7,reject the license issue,reject,license,0.0,low,0,1,0
575,p3,0,1,demand a menue,demand,menue,0.0,low,0,1,0
576,p3,1,2,select the pizza,select,pizza,0.0,low,0,1,0
577,p3,6,7,conduct the available material,conduct,material,0.0,low,0,1,0
578,p30,0,1,conduct an evalute order,conduct,order,0.0,low,0,1,0
579,p30,3,3,create the sale order,create,order,0.0,low,0,1,0
580,p30,4,4,prepare the quality assurance,prepare,assurance,0.0,low,0,1,0
581,p30,8,8,identify the business partner,identify,partner,0.0,low,0,1,0
582,p30,9,9,prepare the quotation,prepare,quotation,0.0,low,0,1,0
583,p30,11,11,analyze the offer,analyze,offer,0.0,low,0,1,0
584,p31,2,3,verify the customer identity,verify,identity,0.0,low,0,1,0
585,p31,8,11,arrange the delivery,arrange,delivery,0.0,low,0,1,0
586,p31,9,12,deliver the water,deliver,water,0.0,low,0,1,0
587,p32,0,1,support a repair,support,repair,0.0,low,0,1,0
588,p32,1,2,visit the customer place,visit,place,0.0,low,0,1,0
589,p32,2,3,perform the inspection,perform,inspection,0.0,low,0,1,0
590,p32,5,6,arrange the product pickup,arrange,pickup,0.0,low,0,1,0
591,p32,6,7,inspect the repairing impossible,inspect,repairing,0.0,low,0,1,0
592,p32,7,8,arrange the refund,arrange,refund,0.0,low,0,1,0
593,p33,5,5,check the order availability,check,availability,0.0,low,0,1,0
594,p33,7,7,find the stock runout,find,stock,0.0,low,0,1,0
595,p33,10,11,assemble the package,assemble,package,0.0,low,0,1,0
596,p34,1,2,find the job advertisment,find,advertisment,0.0,low,0,1,0
597,p35,4,3,conduct the retrive position description,conduct,description,0.0,low,0,1,0
598,p35,10,9,check the job description,check,description,0.0,low,0,1,0
599,p35,14,13,close the vacancy,close,vacancy,0.0,low,0,1,0
600,p36,5,5,find the book,find,book,0.0,low,0,1,0
601,p36,10,10,check out the book,check,book,0.0,low,0,1,0
602,p37,3,4,give the appointment,give,appointment,0.0,low,0,1,0
603,p37,6,7,evaluate the cause,evaluate,cause,0.0,low,0,1,0
604,p37,8,9,give the medicine,give,medicine,0.0,low,0,1,0
605,p37,9,10,receive the medicine,receive,medicine,0.0,low,0,1,0
606,p38,7,8,fill the order,fill,order,0.0,low,0,1,0
607,p38,9,10,process the lodging order,process,order,0.0,low,0,1,0
608,p38,12,13,process the airline invoice,process,invoice,0.0,low,0,1,0
609,p39,0,1,starts a browsing,starts,browsing,0.0,low,0,1,0
610,p39,2,4,conduct the checkout products,conduct,products,0.0,low,0,1,0
611,p4,1,2,determine the approval rules,determine,rules,0.0,low,0,1,0
612,p4,9,9,review personal information,review,information,0.0,low,0,1,0
613,p4,10,11,check the information,check,information,0.0,low,0,1,0
614,p40,4,5,review the assignable request,review,request,0.0,low,0,1,0
615,p40,7,9,complete the registration,complete,registration,0.0,low,0,1,0
616,p40,10,11,provide the required information,provide,information,0.0,low,0,1,0
617,p40,12,13,perform the prelimenary investigation,perform,investigation,0.0,low,0,1,0
618,p40,14,15,grant the loan,grant,loan,0.0,low,0,1,0
619,p41,1,2,give the sat papper,give,papper,0.0,low,0,1,0
620,p41,2,3,take the sat test,take,test,0.0,low,0,1,0
621,p41,5,6,attend the university,attend,university,0.0,low,0,1,0
622,p41,9,10,read the sat preparation book,read,book,0.0,low,0,1,0
623,p42,6,6,charge the credit card,charge,credit card,0.0,low,0,1,0
624,p42,8,7,find the insufficent balance,find,balance,0.0,low,0,1,0
625,p43,3,4,conduct the enquiry training,conduct,training,0.0,low,0,1,0
626,p43,5,5,find the available trainer,find,trainer,0.0,low,0,1,0
627,p43,6,6,look for the trainer,look,trainer,0.0,low,0,1,0
628,p43,8,9,starts the training,starts,training,0.0,low,0,1,0
629,p44,0,1,launch an auction,launch,auction,0.0,low,0,1,0
630,p44,1,2,find the item,find,item,0.0,low,0,1,0
631,p44,2,3,read the item description,read,description,0.0,low,0,1,0
632,p44,4,5,contact the seller,contact,seller,0.0,low,0,1,0
633,p44,5,6,read the seller feedback,read,feedback,0.0,low,0,1,0
634,p44,10,10,buy the item now,buy,item,0.0,low,0,1,0
635,p44,11,11,verify the bidder credentials,verify,credentials,0.0,low,0,1,0
636,p44,12,12,close the auction,close,auction,0.0,low,0,1,0
637,p45,1,2,analyze the sample,analyze,sample,0.0,low,0,1,0
638,p45,2,3,check the result,check,result,0.0,low,0,1,0
639,p45,5,6,purchase the product,purchase,product,0.0,low,0,1,0
640,p45,7,8,evaluate the reasons,evaluate,reasons,0.0,low,0,1,0
641,p46,4,5,find the issue,find,issue,0.0,low,0,1,0
642,p47,0,1,demand an article,demand,article,0.0,low,0,1,0
643,p47,4,5,find the available article,find,article,0.0,low,0,1,0
644,p49,2,3,check the order catagory,check,catagory,0.0,low,0,1,0
645,p49,4,5,find the standard order,find,order,0.0,low,0,1,0
646,p49,6,8,determine the order pricing,determine,pricing,0.0,low,0,1,0
647,p5,1,2,process the order request,process,request,0.0,low,0,1,0
648,p5,9,10,collect the parts,collect,parts,0.0,low,0,1,0
649,p5,11,13,dispatch the product,dispatch,product,0.0,low,0,1,0
650,p50,2,3,allocate the initial priority,allocate,priority,0.0,low,0,1,0
651,p50,9,10,determine the scope,determine,scope,0.0,low,0,1,0
652,p52,3,3,evaluate the normal order,evaluate,order,0.0,low,0,1,0
653,p52,3,4,evaluate special shipment,evaluate,shipment,0.0,low,0,1,0
654,p52,5,5,find the normal order,find,normal,0.0,low,0,1,0
655,p52,7,8,fill the order lable,fill,lable,0.0,low,0,1,0
656,p52,8,9,find the special order,find,order,0.0,low,0,1,0
657,p52,11,13,add the paperwork,add,paperwork,0.0,low,0,1,0
658,p53,4,5,assign the room,assign,room,0.0,low,0,1,0
659,p53,5,6,establish the terms,establish,terms,0.0,low,0,1,0
660,p53,5,7,establish methods,establish,methods,0.0,low,0,1,0
661,p53,6,8,issue the room key,issue,key,0.0,low,0,1,0
662,p53,11,14,find the available room,find,room,0.0,low,0,1,0
663,p53,12,15,reject the guest request,reject,request,0.0,low,0,1,0
664,p53,14,17,issue the key,issue,key,0.0,low,0,1,0
665,p54,4,5,find the retailer,find,retailer,0.0,low,0,1,0
666,p54,7,11,analyze the demand availability,analyze,availability,0.0,low,0,1,0
667,p55,10,9,reject the vacancy,reject,vacancy,0.0,low,0,1,0
668,p56,3,3,find the available product,find,product,0.0,low,0,1,0
669,p56,4,4,bring the product,bring,product,0.0,low,0,1,0
670,p56,8,7,package the order,package,order,0.0,low,0,1,0
671,p57,6,7,verify the credit,verify,credit,0.0,low,0,1,0
672,p57,8,8,find the credit sufficent,find,credit,0.0,low,0,1,0
673,p57,10,10,prepare ships,prepare,ships,0.0,low,0,1,0
674,p57,14,16,close the order,close,order,0.0,low,0,1,0
675,p58,2,3,evaluate the payment mode,evaluate,mode,0.0,low,0,1,0
676,p58,5,6,verify the total amount,verify,amount,0.0,low,0,1,0
677,p59,5,6,create the product specification,create,specification,0.0,low,0,1,0
678,p59,7,8,release the product class,release,class,0.0,low,0,1,0
679,p59,7,9,release attributeses,release,attributes,0.0,low,0,1,0
680,p6,1,2,assist the customer,assist,customer,0.0,low,0,1,0
681,p6,2,3,evaluate the request,evaluate,request,0.0,low,0,1,0
682,p60,1,2,determine the registration authority,determine,authority,0.0,low,0,1,0
683,p60,6,9,verify the business identity,verify,identity,0.0,low,0,1,0
684,p60,9,11,send the training letter,send,letter,0.0,low,0,1,0
685,p61,3,2,process the shippping,process,shippping,0.0,low,0,1,0
686,p61,7,5,handle the shipping price,handle,price,0.0,low,0,1,0
687,p62,2,3,evaluate the support request,evaluate,request,0.0,low,0,1,0
688,p62,4,5,find the information validate,find,information,0.0,low,0,1,0
689,p62,8,9,validate the support,validate,support,0.0,low,0,1,0
690,p62,9,10,display the status,display,status,0.0,low,0,1,0
691,p62,10,11,find the validate information,find,information,0.0,low,0,1,0
692,p62,11,12,validate the information,validate,information,0.0,low,0,1,0
693,p62,11,13,validate resubmits,validate,resubmits,0.0,low,0,1,0
694,p63,2,3,evaluate the candidate eligibility,evaluate,eligibility,0.0,low,0,1,0
695,p63,4,5,find the eligible candidate,find,candidate,0.0,low,0,1,0
696,p63,6,7,find the candidate,find,candidate,0.0,low,0,1,0
697,p63,8,9,review the candidates list,review,list,0.0,low,0,1,0
698,p63,9,10,conduct the announse issue,conduct,issue,0.0,low,0,1,0
699,p63,10,11,prepare the result,prepare,result,0.0,low,0,1,0
700,p64,3,4,transfer the fund,transfer,fund,0.0,low,0,1,0
701,p64,4,5,order the product,order,product,0.0,low,0,1,0
702,p64,6,6,get the product,get,product,0.0,low,0,1,0
703,p65,0,1,offer a quote,offer,quote,0.0,low,0,1,0
704,p65,2,3,prepare the appointment,prepare,appointment,0.0,low,0,1,0
705,p65,3,4,conduct the appointment,conduct,appointment,0.0,low,0,1,0
706,p65,4,5,collect the missing info,collect,info,0.0,low,0,1,0
707,p65,5,6,calculate the insurance package,calculate,package,0.0,low,0,1,0
708,p65,8,9,reevaluate the opportunity,reevaluate,opportunity,0.0,low,0,1,0
709,p67,2,3,evaluate the person credit score,evaluate,credit score,0.0,low,0,1,0
710,p67,5,6,evaluate the misc person,evaluate,person,0.0,low,0,1,0
711,p68,4,4,advise the medicine,advise,medicine,0.0,low,0,1,0
712,p68,5,5,get the medicine,get,medicine,0.0,low,0,1,0
713,p68,6,6,make the referral,make,referral,0.0,low,0,1,0
714,p68,7,7,take the patient blood sample,take,sample,0.0,low,0,1,0
715,p68,8,8,make the further referral,make,referral,0.0,low,0,1,0
716,p68,9,9,perform the genetic testing,perform,testing,0.0,low,0,1,0
717,p69,0,1,view a need based scholorship notification,view,notification,0.0,low,0,1,0
718,p69,3,4,verify the documents,verify,documents,0.0,low,0,1,0
719,p69,4,5,list eligible candidates,list,candidates,0.0,low,0,1,0
720,p69,5,6,initiate the interviews,initiate,interviews,0.0,low,0,1,0
721,p69,7,8,find the student,find,student,0.0,low,0,1,0
722,p69,8,9,grant the scholorship,grant,scholorship,0.0,low,0,1,0
723,p69,10,11,reject the student request,reject,request,0.0,low,0,1,0
724,p70,2,3,process the claim,process,claim,0.0,low,0,1,0
725,p70,3,4,identify the responsibilities,identify,responsibilities,0.0,low,0,1,0
726,p70,7,8,change the responsibilities,change,responsibilities,0.0,low,0,1,0
727,p71,2,3,develop the bid,develop,bid,0.0,low,0,1,0
728,p72,0,1,fill a request form,fill,form,0.0,low,0,1,0
729,p72,2,3,evaluate form,evaluate,form,0.0,low,0,1,0
730,p72,4,5,reject form,reject,form,0.0,low,0,1,0
731,p72,5,6,approve form,approve,form,0.0,low,0,1,0
732,p73,6,8,require the ingredient,require,ingredient,0.0,low,0,1,0
733,p73,10,12,deliver the food,deliver,food,0.0,low,0,1,0
734,p74,3,4,analyze the problem,analyze,problem,0.0,low,0,1,0
735,p74,3,5,address the problem,address,problem,0.0,low,0,1,0
736,p74,5,7,solve the problem,solve,problem,0.0,low,0,1,0
737,p74,10,13,find the problem ,find,problem,0.0,low,0,1,0
738,p74,11,14,evaluate the problem nature,evaluate,nature,0.0,low,0,1,0
739,p74,13,15,advise the customer,advise,customer,0.0,low,0,1,0
740,p76,3,4,evaluate the overtime registration,evaluate,registration,0.0,low,0,1,0
741,p76,7,7,decline the request,decline,request,0.0,low,0,1,0
742,p77,4,5,check the product type,check,product type,0.0,low,0,1,0
743,p77,8,9,deliver the goods to the warehouse,deliver,goods,0.0,low,0,1,0
744,p78,8,13,evaluate the minimum standard to not meet ,evaluate,standard,0.0,low,0,1,0
745,p78,11,17,write the rejection letter,write,letter,0.0,low,0,1,0
746,p79,0,1,view the products,view,products,0.0,low,0,1,0
747,p79,1,2,greet the customer,greet,customer,0.0,low,0,1,0
748,p79,2,3,ask the special order,ask,order,0.0,low,0,1,0
749,p79,3,4,review the special list,review,list,0.0,low,0,1,0
750,p79,4,5,provide the specials,provide,specials,0.0,low,0,1,0
751,p79,5,6,order the food,order,food,0.0,low,0,1,0
752,p8,3,3,take the item,take,item,0.0,low,0,1,0
753,p8,4,4,conduct the available item,conduct,item,0.0,low,0,1,0
754,p8,7,7,check the purchase requisition,check,requisition,0.0,low,0,1,0
755,p80,5,5,identify the training groups,identify,groups,0.0,low,0,1,0
756,p80,6,6,identify the extended workshops,identify,workshops,0.0,low,0,1,0
757,p80,7,8,attend the training,attend,training,0.0,low,0,1,0
758,p80,9,10,evaluate the performance,evaluate,performance,0.0,low,0,1,0
759,p81,2,3,analyze the order,analyze,order,0.0,low,0,1,0
760,p81,7,8,check the stock,check,stock,0.0,low,0,1,0
761,p81,13,15,make the products,make,products,0.0,low,0,1,0
762,p82,3,3,create the consignment pipeline liability,create,liability,0.0,low,0,1,0
763,p82,4,4,settle the consignment pipeline liability,settle,liability,0.0,low,0,1,0
764,p82,5,6,transmit the consignment pipeline settlement document,transmit,document,0.0,low,0,1,0
765,p82,7,8,plan the invoice settlement,plan,settlement,0.0,low,0,1,0
766,p82,11,10,create the purchase order,create,order,0.0,low,0,1,0
767,p82,13,13,evaluate the receipt settlement,evaluate,settlement,0.0,low,0,1,0
768,p82,17,17,release the invoice,release,invoice,0.0,low,0,1,0
769,p82,19,19,release the material,release,material,0.0,low,0,1,0
770,p82,20,20,release the invoice manually,release,invoice,0.0,low,0,1,0
771,p83,3,3,start the production,start,production,0.0,low,0,1,0
772,p83,10,11,stop the billing,stop,billing,0.0,low,0,1,0
773,p83,14,15,check the account status,check,status,0.0,low,0,1,0
774,p84,0,1,pick a gun,pick,gun,0.0,low,0,1,0
775,p84,1,2,load the gun,load,gun,0.0,low,0,1,0
776,p84,2,3,pull the trigger,pull,trigger,0.0,low,0,1,0
777,p84,3,4,strike the firing pin,strike,firing pin,0.0,low,0,1,0
778,p84,5,5,fire the gun,fire,gun,0.0,low,0,1,0
779,p84,6,6,Assassin the victim,Assassin,victim,0.0,low,0,1,0
780,p84,7,7,get the dead,get,dead,0.0,low,0,1,0
781,p84,8,8,misfire the gun,misfire,gun,0.0,low,0,1,0
782,p85,2,3,understand the requirement specification,understand,specification,0.0,low,0,1,0
783,p85,10,10,prepare the item,prepare,item,0.0,low,0,1,0
784,p86,3,4,provide the personal information,provide,information,0.0,low,0,1,0
785,p86,8,9,check the service requirments,check,requirments,0.0,low,0,1,0
786,p86,9,10,check the service availability,check,availability,0.0,low,0,1,0
787,p88,1,2,open the customer inquiry,open,inquiry,0.0,low,0,1,0
788,p88,4,5,determine the tax,determine,tax,0.0,low,0,1,0
789,p88,5,6,determine the vehicle price,determine,price,0.0,low,0,1,0
790,p88,6,8,determine the markup discounts,determine,discounts,0.0,low,0,1,0
791,p88,7,9,perform the export check,perform,check,0.0,low,0,1,0
792,p88,9,10,forbid the export,forbid,export,0.0,low,0,1,0
793,p88,10,11,perform the export control,perform,control,0.0,low,0,1,0
794,p88,11,12,process the required documents,process,documents,0.0,low,0,1,0
795,p88,12,13,supervise the customer order,supervise,order,0.0,low,0,1,0
796,p88,13,14,ship the vehicle,ship,vehicle,0.0,low,0,1,0
797,p89,1,2,create the product demand list,create,list,0.0,low,0,1,0
798,p89,2,3,plan the production order,plan,order,0.0,low,0,1,0
