textid,sentenceID,activityID,activity,verb,object,IT system,process volume,repetitive,human intervention,GS
model2-1,5,8,link to an extra problem,link,problem,1,low,0,0,3
model6-3,2,7,minimize the setup times,minimize,times,1,low,0,0,3
model2-2,23,39,speed up the switch process,speed,process,1,low,0,0,3
model2-1,26,49,terminate the process,terminate,process,1,low,0,0,3
model2-2,24,41,transmit meter data to the customer service,transmit,data,1,low,0,0,3
model2-1,33,58,trigger i.e.,trigger,i.e.,1,low,1,0,3
model2-1,33,59,trigger i.e.,trigger,i.e.,1,low,1,0,3
model8-1,0,0,trigger process to fill a post,trigger,process,1,low,0,0,3
model8-2,1,2, stillask the department again,,,,,,,?
model3-4,0,0,a claim handling process is necessary,,,,,,,?
model9-1,3,8,account management,,,,,,,?
model4-1,18,19,act ,,,,,,,?
model1-4,1,3,act to a new issue,,,,,,,?
model2-2,22,33,additional constraint is that the customer can only withdraw from the offered contract within 7 days after the 7th day,,,,,,,?
model5-3,2,5,ask the request,,,,,,,?
model3-1,5,10,attach stores,,,,,,,?
model1-4,7,14,await approval,,,,,,,?
bicyclemanufacturing,10,14,back ,,,,,,,?
runningexample,10,13,back ,,,,,,,?
claimscreation,3,4,bases on the action plan,,,,,,,?
model3-6,3,4,bases on the outcome (simple or complex claims),,,,,,,?
model2-1,2,3,bases on the received data,,,,,,,?
model6-1,10,23,bases on the statements of the cost center managers,,,,,,,?
model2-1,28,52,bases on the tracked errors,,,,,,,?
model2-1,3,4,bases on this,,,,,,,?
model2-2,24,40,begin ,,,,,,,?
model1-4,3,9,believe ,,,,,,,?
hotelservice,8,16,cart is ready,,,,,,,?
model1-2,0,2,check hands back,,,,,,,?
model3-3,4,7,claim to handle process proceeds,,,,,,,?
model2-1,4,7,collect that,,,,,,,?
model9-6,7,11,complete ,,,,,,,?
model9-1,4,9,complete all,,,,,,,?
model9-1,7,12,complete this,,,,,,,?
model2-1,35,62,complete three activities,,,,,,,?
model2-2,8,13,consist of data elements,,,,,,,?
model4-1,15,16,consist of social-medical workers,,,,,,,?
model1-2,2,4,consist of two activities,,,,,,,?
model4-1,12,13,contain a set,,,,,,,?
model2-1,6,10,continue ,,,,,,,?
model2-2,21,32,continue ,,,,,,,?
model2-2,22,36,continue ,,,,,,,?
model6-1,11,28,continue ,,,,,,,?
model8-3,4,6,corrections is available,,,,,,,?
model2-2,23,38,count to accept after 7 days in way,,,,,,,?
model2-2,3,5,customer service bases customer data,,,,,,,?
model2-2,2,3,customer service is a shared service center,,,,,,,?
model9-1,3,6,default accounts,,,,,,,?
repairexample,3,4,depart ment,,,,,,,?
model8-3,0,0,detect a number,,,,,,,?
repairexample,11,17,device to analyze by an employee to check if the defect was indeed fixed or not,,,,,,,?
model6-1,9,19,e.g. ,,,,,,,?
model2-1,23,43,end ,,,,,,,?
model4-1,39,58,end the intake procedure,,,,,,,?
model1-4,3,8,established underwriters be careful,,,,,,,?
hotelservice,0,0,evanstonian is an upscale independent hotel,,,,,,,?
model6-1,6,13,everything Should be in order,,,,,,,?
model9-6,2,3,existing any is inputs,,,,,,,?
model3-4,1,1,expect claimant to return the questionnaire,,,,,,,?
model4-1,29,46,fill out which,,,,,,,?
bicyclemanufacturing,10,15,finish ,,,,,,,?
runningexample,10,14,finish ,,,,,,,?
bicyclemanufacturing,11,17,finish the process instance,,,,,,,?
bicyclemanufacturing,3,5,finish the process instance in the former case,,,,,,,?
model2-1,5,9,fix process,,,,,,,?
model6-3,0,0,get ,,,,,,,?
model6-1,4,7,go docket to the internal mail,,,,,,,?
model5-3,5,7,go quotations to the purchase department,,,,,,,?
model6-1,4,8,go the copy to the internal mail,,,,,,,?
model9-5,4,6,go to the employees,,,,,,,?
model2-1,26,47,happen on-hold and waiting request,,,,,,,?
model8-3,3,5,happen that the colleague from the hr department still has questions about the tasks and requirements before he can describe the job,,,,,,,?
model8-2,3,5,happen the approval,,,,,,,?
model6-4,2,3,happen to know somebody,,,,,,,?
hotelservice,4,7,include other alcoholic beverage,,,,,,,?
hotelservice,4,6,include wine,,,,,,,?
model6-3,1,3,information is present,,,,,,,?
model4-1,0,0,intake workflow starts with a notice,,,,,,,?
model6-4,2,4,interest somebody in the product,,,,,,,?
model6-1,12,29,invoice items be AP,,,,,,,?
repairexample,4,5,is analyze ,,,,,,,?
model6-3,4,10,is not couple the setup times correctly to enterprise resource planning system,,,,,,,?
model5-1,0,0,loan approval process ,,,,,,,?
model9-3,2,5,look ,,,,,,,?
model4-1,10,11,may not leave the building,,,,,,,?
model6-1,8,17,move through the hands,,,,,,,?
model1-4,6,13,need to check that the issue complies with the so-called blue-sky laws of each state that regulate sales of securities within the state,,,,,,,?
model6-3,6,13,need to decide are miss ,,,,,,,?
model2-2,23,37,not confirmation message is not necessary,,,,,,,?
model6-1,9,20,not the ordered product is not of the expected quantity or quality,,,,,,,?
model6-1,6,14,note code one,,,,,,,?
model6-3,2,5,optimize production processes,,,,,,,?
model2-1,0,0,perceive that her subscribed service has degraded,,,,,,,?
model2-1,12,20,perform based,,,,,,,?
model1-4,2,4,play a triple role,,,,,,,?
model9-6,2,4,previous electrical and physical designs be inputs,,,,,,,?
repairexample,2,2,process ,,,,,,,?
model6-2,0,0,process start when assembler ag places an order with the supplier in order to request more product parts,,,,,,,?
model1-4,2,5,provide the company,,,,,,,?
model4-1,36,55,put the patient,,,,,,,?
model2-2,15,22,put the question,,,,,,,?
hotelservice,6,12,ready gathers silverware,,,,,,,?
model2-2,7,12,remain the data object,,,,,,,?
repairexample,7,11,repair department has two teams,,,,,,,?
model3-3,3,5,repeat officer,,,,,,,?
model5-3,9,17,require ,,,,,,,?
model5-3,9,18,require ,,,,,,,?
model5-3,9,19,require ,,,,,,,?
model9-5,2,4,require approval,,,,,,,?
model2-1,24,45,require automatic resource restoration,,,,,,,?
model2-1,21,39,require that,,,,,,,?
model4-1,26,38,require the medical file,,,,,,,?
repairexample,0,0,running example is about a process to repair telephones in a company,,,,,,,?
claimscreation,1,2,serve who calculates an initial claim as input estimate,,,,,,,?
model6-1,16,33,Should there be a complaint,,,,,,,?
model9-6,4,6,stop ,,,,,,,?
model9-5,6,8,stop the process,,,,,,,?
model2-1,19,36,take alternative three process paths,,,,,,,?
model6-3,5,12,that is the second step,,,,,,,?
model5-1,2,3,the customer is low risk,,,,,,,?
model6-3,6,14,the data is present,,,,,,,?
model3-2,2,3,the files be ready,,,,,,,?
hotelservice,8,14,the food is ready,,,,,,,?
model4-1,19,24,the region is responsible,,,,,,,?
model4-1,19,25,the region is responsible,,,,,,,?
model4-1,19,26,the region is responsible,,,,,,,?
model4-1,19,27,the region is responsible,,,,,,,?
model4-1,19,28,the teamleader might have had with the patient,,,,,,,?
model4-1,19,29,the teamleader might have had with the patient,,,,,,,?
model4-1,19,30,the teamleader might have had with the patient,,,,,,,?
model4-1,19,31,the teamleader might have had with the patient,,,,,,,?
model2-1,11,17,to be ,,,,,,,?
model5-3,7,14,to be deliver ,,,,,,,?
model6-3,3,9,to be procure ,,,,,,,?
model3-1,0,1,to be release ,,,,,,,?
model3-1,3,6,to be send ,,,,,,,?
repairexample,11,18,to check ,,,,,,,?
model1-4,0,1,to go ,,,,,,,?
repairexample,14,22,To save throughput time,,,,,,,?
repairexample,14,23,try to fix a limited number,,,,,,,?
model9-2,1,2,use a series,,,,,,,?
model8-2,2,4,wait for the approval,,,,,,,?
model9-2,0,1,wait previous defaulters,,,,,,,?
model8-3,1,2,wait to get the job description,,,,,,,?
hotelservice,7,13,waiter is responsible,,,,,,,?
model6-4,5,8,which is available,,,,,,,?
model6-4,5,9,which is available,,,,,,,?
model2-2,22,34,will be regard ,,,,,,,?
hotelservice,8,15,wine is ready,,,,,,,?
model2-2,1,1,,,,,,,,?
model5-1,4,6,the loan amount is for $10,,,,,,,
model6-1,14,31,want to check 20,,,,,,,
